country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,uid,bank_account
Rwanda,2016,uniqueid_4858,Rural,Yes,6,45,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing,Rwanda_uniqueid_4858,No
Tanzania,2017,uniqueid_3015,Urban,No,4,33,Female,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_3015,No
Rwanda,2016,uniqueid_103,Rural,Yes,7,43,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_103,No
Rwanda,2016,uniqueid_4582,Rural,No,6,35,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_4582,No
Tanzania,2017,uniqueid_2854,Urban,Yes,2,30,Male,Head of Household,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_2854,No
Kenya,2018,uniqueid_5704,Urban,Yes,2,57,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed,Kenya_uniqueid_5704,No
Tanzania,2017,uniqueid_4831,Urban,Yes,1,25,Female,Head of Household,Divorced/Seperated,Tertiary education,Informally employed,Tanzania_uniqueid_4831,No
Tanzania,2017,uniqueid_3231,Rural,Yes,3,41,Female,Head of Household,Married/Living together,Primary education,Informally employed,Tanzania_uniqueid_3231,No
Rwanda,2016,uniqueid_390,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Self employed,Rwanda_uniqueid_390,No
Tanzania,2017,uniqueid_4088,Urban,Yes,2,35,Female,Spouse,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_4088,No
Tanzania,2017,uniqueid_6624,Urban,Yes,2,58,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_6624,No
Tanzania,2017,uniqueid_325,Urban,No,2,20,Female,Spouse,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_325,No
Rwanda,2016,uniqueid_675,Rural,Yes,4,25,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_675,No
Uganda,2018,uniqueid_1618,Rural,No,5,28,Male,Head of Household,Married/Living together,Primary education,No Income,Uganda_uniqueid_1618,No
Rwanda,2016,uniqueid_2784,Rural,Yes,7,37,Male,Head of Household,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_2784,No
Rwanda,2016,uniqueid_7107,Rural,Yes,3,51,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Rwanda_uniqueid_7107,No
Kenya,2018,uniqueid_4792,Rural,No,1,70,Female,Head of Household,Widowed,No formal education,Other Income,Kenya_uniqueid_4792,Yes
Kenya,2018,uniqueid_4201,Rural,Yes,4,59,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed,Kenya_uniqueid_4201,No
Tanzania,2017,uniqueid_6554,Urban,Yes,2,30,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent,Tanzania_uniqueid_6554,No
Rwanda,2016,uniqueid_2018,Rural,Yes,4,21,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_2018,No
Kenya,2018,uniqueid_320,Rural,Yes,6,49,Male,Head of Household,Married/Living together,Primary education,Informally employed,Kenya_uniqueid_320,No
Rwanda,2016,uniqueid_3365,Rural,Yes,4,43,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_3365,No
Tanzania,2017,uniqueid_2662,Urban,Yes,3,50,Male,Head of Household,Single/Never Married,Secondary education,Informally employed,Tanzania_uniqueid_2662,No
Rwanda,2016,uniqueid_4500,Rural,No,2,57,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_4500,No
Tanzania,2017,uniqueid_2187,Urban,Yes,1,18,Female,Head of Household,Divorced/Seperated,Primary education,Self employed,Tanzania_uniqueid_2187,No
Rwanda,2016,uniqueid_5721,Rural,Yes,6,53,Female,Head of Household,Married/Living together,Primary education,Formally employed Private,Rwanda_uniqueid_5721,No
Kenya,2018,uniqueid_5914,Urban,Yes,1,32,Male,Head of Household,Married/Living together,Primary education,Self employed,Kenya_uniqueid_5914,No
Kenya,2018,uniqueid_5615,Urban,Yes,3,34,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent,Kenya_uniqueid_5615,No
Rwanda,2016,uniqueid_8674,Urban,Yes,7,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_8674,No
Kenya,2018,uniqueid_5494,Rural,Yes,2,35,Female,Head of Household,Single/Never Married,Secondary education,Other Income,Kenya_uniqueid_5494,Yes
Rwanda,2016,uniqueid_3341,Rural,No,3,22,Female,Spouse,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_3341,No
Uganda,2018,uniqueid_751,Rural,Yes,7,25,Female,Spouse,Married/Living together,Primary education,Self employed,Uganda_uniqueid_751,No
Kenya,2018,uniqueid_331,Rural,No,6,31,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing,Kenya_uniqueid_331,No
Rwanda,2016,uniqueid_3911,Rural,Yes,2,24,Male,Head of Household,Married/Living together,Secondary education,Other Income,Rwanda_uniqueid_3911,No
Rwanda,2016,uniqueid_2937,Rural,No,6,39,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_2937,No
Rwanda,2016,uniqueid_4103,Rural,Yes,8,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_4103,No
Kenya,2018,uniqueid_3117,Rural,Yes,1,41,Male,Head of Household,Single/Never Married,Primary education,Informally employed,Kenya_uniqueid_3117,Yes
Tanzania,2017,uniqueid_5957,Urban,Yes,1,27,Male,Head of Household,Divorced/Seperated,Primary education,Formally employed Private,Tanzania_uniqueid_5957,No
Kenya,2018,uniqueid_3332,Urban,Yes,1,24,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private,Kenya_uniqueid_3332,No
Kenya,2018,uniqueid_614,Urban,Yes,4,39,Male,Head of Household,Married/Living together,Secondary education,Self employed,Kenya_uniqueid_614,No
Uganda,2018,uniqueid_1925,Rural,No,8,35,Female,Spouse,Married/Living together,Primary education,Self employed,Uganda_uniqueid_1925,No
Rwanda,2016,uniqueid_1512,Rural,No,5,21,Male,Child,Single/Never Married,Primary education,Informally employed,Rwanda_uniqueid_1512,No
Kenya,2018,uniqueid_723,Rural,No,3,56,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_723,Yes
Rwanda,2016,uniqueid_7103,Rural,Yes,8,19,Female,Child,Single/Never Married,Secondary education,Farming and Fishing,Rwanda_uniqueid_7103,No
Kenya,2018,uniqueid_5807,Rural,Yes,2,50,Female,Spouse,Married/Living together,No formal education,Farming and Fishing,Kenya_uniqueid_5807,No
Rwanda,2016,uniqueid_91,Rural,Yes,3,46,Female,Head of Household,Widowed,Primary education,Self employed,Rwanda_uniqueid_91,No
Rwanda,2016,uniqueid_7560,Urban,Yes,3,23,Female,Parent,Single/Never Married,Secondary education,Farming and Fishing,Rwanda_uniqueid_7560,No
Tanzania,2017,uniqueid_3994,Rural,No,2,35,Female,Spouse,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_3994,No
Rwanda,2016,uniqueid_4974,Rural,Yes,1,42,Male,Head of Household,Divorced/Seperated,Primary education,Self employed,Rwanda_uniqueid_4974,No
Tanzania,2017,uniqueid_1042,Urban,Yes,2,28,Male,Head of Household,Single/Never Married,Primary education,Informally employed,Tanzania_uniqueid_1042,No
Uganda,2018,uniqueid_460,Rural,Yes,7,45,Male,Head of Household,Married/Living together,Secondary education,Self employed,Uganda_uniqueid_460,No
Rwanda,2016,uniqueid_4235,Rural,No,7,16,Female,Child,Single/Never Married,Primary education,Self employed,Rwanda_uniqueid_4235,No
Rwanda,2016,uniqueid_6757,Rural,Yes,9,69,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_6757,No
Rwanda,2016,uniqueid_7469,Rural,Yes,7,32,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_7469,No
Rwanda,2016,uniqueid_6090,Rural,Yes,3,62,Female,Head of Household,Divorced/Seperated,Primary education,Remittance Dependent,Rwanda_uniqueid_6090,No
Tanzania,2017,uniqueid_2841,Urban,Yes,2,21,Male,Parent,Divorced/Seperated,Tertiary education,Formally employed Private,Tanzania_uniqueid_2841,No
Rwanda,2016,uniqueid_1429,Urban,No,3,73,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent,Rwanda_uniqueid_1429,No
Kenya,2018,uniqueid_2260,Urban,Yes,1,23,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent,Kenya_uniqueid_2260,No
Kenya,2018,uniqueid_3465,Rural,Yes,5,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,Kenya_uniqueid_3465,No
Tanzania,2017,uniqueid_5570,Urban,No,2,28,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_5570,No
Rwanda,2016,uniqueid_833,Rural,No,3,66,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Rwanda_uniqueid_833,No
Rwanda,2016,uniqueid_5495,Rural,Yes,7,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_5495,No
Rwanda,2016,uniqueid_3858,Rural,Yes,5,32,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Rwanda_uniqueid_3858,Yes
Rwanda,2016,uniqueid_1807,Rural,Yes,5,20,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_1807,No
Rwanda,2016,uniqueid_58,Rural,No,4,26,Female,Spouse,Married/Living together,Primary education,Informally employed,Rwanda_uniqueid_58,No
Tanzania,2017,uniqueid_2083,Urban,No,1,54,Female,Head of Household,Single/Never Married,No formal education,Self employed,Tanzania_uniqueid_2083,No
Kenya,2018,uniqueid_1279,Urban,Yes,2,21,Female,Spouse,Married/Living together,No formal education,Remittance Dependent,Kenya_uniqueid_1279,No
Uganda,2018,uniqueid_1294,Rural,Yes,6,16,Female,Parent,Single/Never Married,Secondary education,No Income,Uganda_uniqueid_1294,No
Rwanda,2016,uniqueid_6551,Rural,Yes,8,47,Male,Head of Household,Married/Living together,No formal education,Informally employed,Rwanda_uniqueid_6551,No
Rwanda,2016,uniqueid_7677,Rural,No,3,41,Female,Head of Household,Divorced/Seperated,No formal education,Farming and Fishing,Rwanda_uniqueid_7677,No
Tanzania,2017,uniqueid_1617,Urban,Yes,2,35,Female,Spouse,Single/Never Married,No formal education,Remittance Dependent,Tanzania_uniqueid_1617,No
Rwanda,2016,uniqueid_4149,Rural,Yes,5,33,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing,Rwanda_uniqueid_4149,No
Rwanda,2016,uniqueid_5143,Rural,No,3,84,Male,Head of Household,Widowed,Primary education,Farming and Fishing,Rwanda_uniqueid_5143,No
Rwanda,2016,uniqueid_4817,Rural,Yes,5,71,Female,Head of Household,Divorced/Seperated,No formal education,Government Dependent,Rwanda_uniqueid_4817,No
Kenya,2018,uniqueid_6059,Rural,No,5,60,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_6059,No
Tanzania,2017,uniqueid_3274,Rural,Yes,3,39,Female,Head of Household,Married/Living together,Vocational/Specialised training,Self employed,Tanzania_uniqueid_3274,No
Tanzania,2017,uniqueid_1912,Urban,Yes,3,60,Male,Head of Household,Single/Never Married,Primary education,Self employed,Tanzania_uniqueid_1912,No
Rwanda,2016,uniqueid_951,Rural,No,8,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent,Rwanda_uniqueid_951,No
Kenya,2018,uniqueid_5689,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing,Kenya_uniqueid_5689,Yes
Rwanda,2016,uniqueid_4117,Urban,Yes,6,25,Female,Parent,Single/Never Married,Primary education,Formally employed Private,Rwanda_uniqueid_4117,Yes
Rwanda,2016,uniqueid_6305,Rural,Yes,7,68,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing,Rwanda_uniqueid_6305,No
Kenya,2018,uniqueid_52,Urban,Yes,2,51,Female,Head of Household,Single/Never Married,Secondary education,Self employed,Kenya_uniqueid_52,No
